"id","idade","faixa_idade","genero","estado","uf","regiao","faixa_salarial","cargo","nivel","forma_trabalho","aws","gcp","azure","oracle_cloud","ibm_cloud","on_premise","cloud_propria","lang_sql","lang_r","lang_python","lang_c","lang_dotnet","lang_java","lang_julia","lang_sas_stata","lang_vba","lang_scala","lang_matlab","lang_php","lang_javascript","bi_powerbi","bi_qlik","bi_tableau","bi_metabase","bi_looker","bi_google_data_studio","bi_so_excel","bi_nenhuma"
"thevwd7030dldjvy77j993thevwd07sq","43","40-44","Masculino","Mato Grosso (MT)","MT","Centro-oeste","de R$ 16.001/mês a R$ 20.000/mês","Outras Engenharias (não inclui dev)","Pleno","Modelo híbrido com dias fixos de trabalho presencial","0","1","0","0","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"u1cyn5mxdigbvp8fanu1cynv8le2yzfg","45","45-49","Masculino","Sergipe (SE)","SE","Nordeste","de R$ 12.001/mês a R$ 16.000/mês","Engenheiro de Dados/Data Engineer","Pleno","Modelo 100% presencial","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"j6tebuk4y8zisv32j6teqgi23uhiahvg","34","30-34","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","Engenheiro de Dados/Data Engineer","Pleno","Modelo 100% remoto","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"j4p4aliw3hza5lodpfj4p4aliwr7t4yg","28","25-29","Feminino","Santa Catarina (SC)","SC","Sul","de R$ 16.001/mês a R$ 20.000/mês","Product Manager","Sênior","Modelo 100% remoto","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0"
"u07jip5jr8ly2iuvddlu07jip5mzvpk6","30","30-34","Masculino","São Paulo (SP)","SP","Sudeste","Menos de R$ 1.000/mês","","","Modelo 100% remoto","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"tzzyhtwnllx08nmwqtzzynsnrdyq4afa","30","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","Cientista de Dados/Data Scientist","Sênior","Modelo híbrido com dias fixos de trabalho presencial","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"tzp2typ5scjmt61tzp2tyfg7qeaex193","25","25-29","Masculino","Distrito Federal (DF)","DF","Centro-oeste","de R$ 3.001/mês a R$ 4.000/mês","Analista de Dados/Data Analyst","Júnior","Modelo 100% presencial","1","1","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0"
"tzmbld146klxvofltzmb45qwh5jcqhah","37","35-39","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Analista de Dados/Data Analyst","Sênior","Modelo híbrido com dias fixos de trabalho presencial","0","0","0","1","0","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","1","0"
"tz5ohrt580rudzgwpztz5oqddfpa9o6n","31","30-34","Masculino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","Engenheiro de Dados/Data Engineer","Pleno","Modelo 100% remoto","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"txrqrh07ddyxjnws2txrqrh77ppgmej6","26","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","Engenheiro de Dados/Data Engineer","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"z7dipmdya6fb0u3axrz7dipo77666dfx","51","50-54","Masculino","Paraná (PR)","PR","Sul","de R$ 8.001/mês a R$ 12.000/mês","Outro","Pleno","Modelo 100% remoto","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"tvpzerzf2siztvpzeexuvhfhwdn3j2b3","36","35-39","Masculino","Pernambuco (PE)","PE","Nordeste","de R$ 12.001/mês a R$ 16.000/mês","Engenheiro de Dados/Data Engineer","Pleno","Modelo 100% presencial","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"tvnof6pdsl7cptwkctvnhfne87yoqyq8","30","30-34","Feminino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Analista de BI/BI Analyst/Analytics Engineer","Pleno","Modelo 100% remoto","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0"
"tvgs1g8fbzp5g2relub1xtvgs1g8zguw","28","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","Estatístico","Pleno","Modelo 100% remoto","1","0","0","0","1","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"tvd3y54f1vexqlmft4cbtvd3y54d060l","25","25-29","Masculino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 3.001/mês a R$ 4.000/mês","Analista de Dados/Data Analyst","Júnior","Modelo 100% remoto","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0"
"yvx0elviiniyg17qv3yvx0ejvfxh1jqi","51","50-54","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 20.001/mês a R$ 25.000/mês","Cientista de Dados/Data Scientist","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"tv20rvc1he8qwlstv20f3icwb5d05vj2","28","25-29","Feminino","Rio Grande do Norte (RN)","RN","Nordeste","de R$ 6.001/mês a R$ 8.000/mês","Analista de Dados/Data Analyst","Júnior","Modelo 100% remoto","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"tuwunxdabbmwtuwuoar2d31vzjnyh77o","31","30-34","Feminino","Paraná (PR)","PR","Sul","de R$ 6.001/mês a R$ 8.000/mês","Analista de Dados/Data Analyst","Pleno","Modelo 100% remoto","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"turblzwbg1wgnpcrige0w2pturblzwbl","32","30-34","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","Analista de Dados/Data Analyst","Sênior","Modelo 100% remoto","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0"
"i7sm3eswrfw2rm286i7smhydig1zu619","31","30-34","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 3.001/mês a R$ 4.000/mês","","","Modelo 100% presencial","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ttqm9yjcjmg96azttqmvgb3i7ex8uwve","33","30-34","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Analista de BI/BI Analyst/Analytics Engineer","Júnior","Modelo 100% remoto","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"tstv72jljuklpamkeocfitstv72jlmxm","27","25-29","Masculino","Paraná (PR)","PR","Sul","de R$ 16.001/mês a R$ 20.000/mês","Cientista de Dados/Data Scientist","Sênior","Modelo 100% remoto","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"tsj6iirzre230ry0htsj6buwt4vvn4vu","39","35-39","Feminino","Minas Gerais (MG)","MG","Sudeste","de R$ 2.001/mês a R$ 3000/mês","Analista Administrativo","Júnior","Modelo 100% presencial","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"u63yxtyuycg9dk91h5o2u63yxwjtpdcl","33","30-34","Masculino","Bahia (BA)","BA","Nordeste","de R$ 2.001/mês a R$ 3000/mês","Analista Administrativo","Pleno","Modelo 100% presencial","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"hq6ndd2ounv0v4uotrathq6ndd2v7azg","38","35-39","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Analista de Dados/Data Analyst","Sênior","Modelo híbrido com dias fixos de trabalho presencial","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0"
"ts6m2xnfupts65fu83butwhxsj261u4b","39","35-39","Masculino","Rio Grande do Sul (RS)","RS","Sul","de R$ 6.001/mês a R$ 8.000/mês","Outras Engenharias (não inclui dev)","Sênior","Modelo híbrido com dias fixos de trabalho presencial","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"gl5e408zrs7dgs4m8k2gl5a6gg0ldgx3","35","35-39","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 1.001/mês a R$ 2.000/mês","Engenheiro de Dados/Data Engineer","Júnior","Modelo 100% presencial","0","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0"
"troswswqq0l03sxtroswrr17fugckp7k","36","35-39","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Analista de BI/BI Analyst/Analytics Engineer","Pleno","Modelo 100% remoto","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"trj5zcngk8xw65wztrj5hslted1lu398","25","25-29","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Cientista de Dados/Data Scientist","Júnior","Modelo 100% remoto","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"tqa2fh83z3cug9wek1stqa2fh8yy85jy","28","25-29","Outro","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Desenvolvedor ou Engenheiro de Software","Pleno","Modelo híbrido com dias fixos de trabalho presencial","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"tp99o4u71a2qr8ixjtp99ol604t7tna7","24","22-24","Masculino","Rio Grande do Sul (RS)","RS","Sul","de R$ 4.001/mês a R$ 6.000/mês","Analista de Dados/Data Analyst","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"toifu5ov08x868zjkhutoifu5os2505f","24","22-24","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 2.001/mês a R$ 3000/mês","Desenvolvedor ou Engenheiro de Software","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"tn2tpu33iavtmxihmop66tn2tpcso289","42","40-44","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Técnico","Sênior","Modelo 100% presencial","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"tmqz0ht7n6a1roevptmqz0qweu52bdjj","31","30-34","Feminino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","Analista de Dados/Data Analyst","Pleno","Modelo 100% remoto","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"tmg7aw6tnrnhgh2swlax5tmg7aw69qwl","38","35-39","Masculino","Rio de Janeiro (RJ)","RJ","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Analista de BI/BI Analyst/Analytics Engineer","Pleno","Modelo híbrido com dias fixos de trabalho presencial","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"tl7upshanwgzvotl7u4dzkw07477gk03","36","35-39","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Desenvolvedor ou Engenheiro de Software","Júnior","Modelo 100% remoto","0","0","1","1","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0"
"tkx43h3mu5uv7pxtkx43f4c046uhf4bd","24","22-24","Feminino","Rio Grande do Norte (RN)","RN","Nordeste","de R$ 8.001/mês a R$ 12.000/mês","Cientista de Dados/Data Scientist","Júnior","Modelo 100% remoto","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"tj2efzt9k3hr56rwvtf9vtj2efgsgz7g","30","30-34","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 8.001/mês a R$ 12.000/mês","Engenheiro de Machine Learning/ML Engineer","Sênior","Modelo 100% remoto","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"tiskl7e4amulbzdsmnrtiskpvrsjgdqg","30","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 3.001/mês a R$ 4.000/mês","Analista de BI/BI Analyst/Analytics Engineer","Pleno","Modelo 100% presencial","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0"
"ti0ui8wz86y72eqexxti0uid029nhe09","25","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Engenheiro de Dados/Data Engineer","Pleno","Modelo 100% remoto","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"thhptgskxoj4iazy323s1q7zthhptgsy","25","25-29","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 2.001/mês a R$ 3000/mês","Analista de BI/BI Analyst/Analytics Engineer","Júnior","Modelo 100% remoto","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"thg52huegbvu56ax4thzteijegj6vtno","34","30-34","Masculino","Rio Grande do Sul (RS)","RS","Sul","de R$ 4.001/mês a R$ 6.000/mês","Analista de Dados/Data Analyst","Pleno","Modelo 100% remoto","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0"
"ft5dmrotk5e0ogld6ft5dmryp1bhqdwi","26","25-29","Feminino","Distrito Federal (DF)","DF","Centro-oeste","de R$ 6.001/mês a R$ 8.000/mês","Engenheiro de Dados/Data Engineer","Pleno","Modelo 100% remoto","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0"
"th3r8ztuphjbksath3r85vlux9dvfho2","29","25-29","Masculino","Paraná (PR)","PR","Sul","de R$ 16.001/mês a R$ 20.000/mês","Engenheiro de Dados/Data Engineer","Sênior","Modelo 100% remoto","1","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"tgwfrkmfc5lkkh7elj1gbcdhtgwfrkmm","33","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","Engenheiro de Dados/Data Engineer","Sênior","Modelo 100% remoto","1","0","0","0","0","0","1","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0"
"tguf4yftgsefllk0xo7kbitguf4yr9yr","30","30-34","Masculino","Paraná (PR)","PR","Sul","de R$ 4.001/mês a R$ 6.000/mês","Analista de Dados/Data Analyst","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"tgu8s46xgv8oyetgu8s4cxw8hyzmugkj","33","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Analista de Dados/Data Analyst","Sênior","Modelo 100% remoto","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0"
"tgl84reaw089srtgl89qgobkz30488rc","27","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","Cientista de Dados/Data Scientist","Pleno","Modelo 100% remoto","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"tg3vaysdoxeetg3x9qn9jyhc5g3xdn74","35","35-39","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Engenheiro de Dados/Data Engineer","Júnior","Modelo 100% remoto","0","1","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0"
"tfyu2n6pagqtu3vq5od809yjjtfyu2n6","29","25-29","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","Analista de Negócios/Business Analyst","Sênior","Modelo 100% remoto","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"tfm3uow1uchd1cddntfm3p4sb6wwrbcj","28","25-29","Feminino","São Paulo (SP)","SP","Sudeste","de R$ 3.001/mês a R$ 4.000/mês","Analista de BI/BI Analyst/Analytics Engineer","Pleno","Modelo 100% remoto","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"tf7n67vvvr0bektf7jc744bpdvokr95v","20","17-21","Masculino","Paraná (PR)","PR","Sul","de R$ 2.001/mês a R$ 3000/mês","Analista de BI/BI Analyst/Analytics Engineer","Júnior","Modelo híbrido com dias fixos de trabalho presencial","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0"
"fl507z2yrsbgsv8fl507rh54esrj060u","30","30-34","Feminino","Minas Gerais (MG)","MG","Sudeste","de R$ 2.001/mês a R$ 3000/mês","Analista de Negócios/Business Analyst","Júnior","Modelo 100% remoto","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"tea2iynxfadvfj88qnteayap8g39dpj6","43","40-44","Masculino","Goiás (GO)","GO","Centro-oeste","de R$ 8.001/mês a R$ 12.000/mês","Outro","Pleno","Modelo híbrido com dias fixos de trabalho presencial","0","0","0","0","0","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"te72t4fghc6yyeyrz0te72t4hg5aq8v2","24","22-24","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Engenheiro de Dados/Data Engineer","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"tdnmkvdha2uish1dmtdntrepwxg2874k","21","17-21","Masculino","Rio Grande do Sul (RS)","RS","Sul","Menos de R$ 1.000/mês","Outro","Júnior","Modelo 100% remoto","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"tddf1unpcjd0qms0tlhrtddf1xtc7uq6","39","35-39","Masculino","Espírito Santo (ES)","ES","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Professor","Sênior","Modelo 100% presencial","1","0","0","0","0","0","0","1","1","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"tch2vjycp9updjow6tch27ogz5ln4l8m","27","25-29","Masculino","Rio Grande do Sul (RS)","RS","Sul","de R$ 3.001/mês a R$ 4.000/mês","Analista de Negócios/Business Analyst","Júnior","Modelo híbrido com dias fixos de trabalho presencial","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"tbj6gootqpb5qlhauhbtbj6g2tsw2cnp","22","22-24","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 3.001/mês a R$ 4.000/mês","Engenheiro de Dados/Data Engineer","Júnior","Modelo 100% presencial","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"t979guz99uman2wt97ejrwo1pkv4ccfp","40","40-44","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Outras Engenharias (não inclui dev)","Sênior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ygy3copu4uizk539sygy3cg4hf4x1fez","51","50-54","Feminino","Minas Gerais (MG)","MG","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Cientista de Dados/Data Scientist","Júnior","Modelo 100% remoto","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"t7h9ytd5w65mru7979dv2st7h9ytg8ur","24","22-24","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Engenheiro de Dados/Data Engineer","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"efceckc3up3b77tycjkefcnyxyejbieb","30","30-34","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Analista de Sistemas/Analista de TI","Pleno","Modelo 100% remoto","1","0","1","0","0","0","0","1","0","0","1","1","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0"
"t76kdeckt27t9cml3u9t76kai7cd802s","25","25-29","Masculino","Paraná (PR)","PR","Sul","de R$ 12.001/mês a R$ 16.000/mês","Engenheiro de Machine Learning/ML Engineer","Pleno","Modelo 100% remoto","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0"
"t5ebop2t6osekjrxpkrjt5eb66k2pi32","26","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","Analista de Dados/Data Analyst","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0"
"t374st0zvv16t374s6aj6ol15ebz7e2o","20","17-21","Masculino","Rio Grande do Sul (RS)","RS","Sul","de R$ 6.001/mês a R$ 8.000/mês","Desenvolvedor ou Engenheiro de Software","Pleno","Modelo 100% remoto","0","1","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"t2s464zqgs42isyut2s46bsa4ltqv2xg","31","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","Cientista de Dados/Data Scientist","Sênior","Modelo 100% remoto","0","0","0","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0"
"t2pz0tpdqvu074mtt2pz004ehrc7xff8","25","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 6.001/mês a R$ 8.000/mês","Analista de BI/BI Analyst/Analytics Engineer","Pleno","Modelo 100% presencial","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"t2h8vuoehe42wst2h8g3q244fu9t7kl0","18","17-21","Feminino","Minas Gerais (MG)","MG","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Desenvolvedor ou Engenheiro de Software","Júnior","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"t2cid81vv1n8w86gjdt2cid81dvinhh1","30","30-34","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 1.001/mês a R$ 2.000/mês","Outras Engenharias (não inclui dev)","Júnior","Modelo 100% presencial","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"cw882p5ma0tqttqnyvta1cw882p5xzbt","39","35-39","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 1.001/mês a R$ 2.000/mês","Analista de Sistemas/Analista de TI","Júnior","Modelo 100% remoto","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"t198yi4rtuwu507i6ozjy2t198yjf19k","26","25-29","Masculino","São Paulo (SP)","SP","Sudeste","de R$ 4.001/mês a R$ 6.000/mês","Engenheiro de Dados/Data Engineer","Pleno","Modelo 100% remoto","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"t14vk15hwcx2w7t4r9t14vk8rybxsadv","33","30-34","Masculino","Minas Gerais (MG)","MG","Sudeste","de R$ 3.001/mês a R$ 4.000/mês","Cientista de Dados/Data Scientist","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0"
"t0qlvyy5cd2z8q0liht0ql7d22gisdos","23","22-24","Masculino","Rio Grande do Sul (RS)","RS","Sul","de R$ 3.001/mês a R$ 4.000/mês","Analista de BI/BI Analyst/Analytics Engineer","Pleno","Modelo híbrido com dias fixos de trabalho presencial","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"t00leqn7a2b3b5l2gsby6pz7nt00leqn","36","35-39","Masculino","Santa Catarina (SC)","SC","Sul","de R$ 8.001/mês a R$ 12.000/mês","Analista de BI/BI Analyst/Analytics Engineer","Sênior","Modelo híbrido com dias fixos de trabalho presencial","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"syz2oaqb0txnteu4syz3a05dxwf68gpb","24","22-24","Masculino","Pernambuco (PE)","PE","Nordeste","de R$ 6.001/mês a R$ 8.000/mês","Engenheiro de Dados/Data Engineer","Pleno","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"jg0gqffp91xjlez18ijg0gqfn4eo2nyp","37","35-39","Masculino","Bahia (BA)","BA","Nordeste","de R$ 8.001/mês a R$ 12.000/mês","Outras Engenharias (não inclui dev)","Pleno","Modelo híbrido com dias fixos de trabalho presencial","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
